service_id,date,exception_type
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231213,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231214,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231215,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231218,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231219,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231220,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231221,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231222,1
chouette:TimeTable:3a693c73-8e0d-4c0d-9942-bc4c91d56527:LOC,20231126,1
chouette:TimeTable:3a693c73-8e0d-4c0d-9942-bc4c91d56527:LOC,20231203,1
chouette:TimeTable:3a693c73-8e0d-4c0d-9942-bc4c91d56527:LOC,20231210,1
chouette:TimeTable:3a693c73-8e0d-4c0d-9942-bc4c91d56527:LOC,20231217,1
chouette:TimeTable:fb8c2064-ff88-4024-9202-43e02b0c18b4:LOC,20231125,1
chouette:TimeTable:fb8c2064-ff88-4024-9202-43e02b0c18b4:LOC,20231202,1
chouette:TimeTable:fb8c2064-ff88-4024-9202-43e02b0c18b4:LOC,20231209,1
chouette:TimeTable:fb8c2064-ff88-4024-9202-43e02b0c18b4:LOC,20231216,1
chouette:TimeTable:38102a19-7348-4a54-a1af-ebb6fe39d3df:LOC,20231127,1
